contrast,H_trained,report_step,base_mode,target_mode,base_model,target_model,MAE_base_mean,MAE_target_mean,MAE_target_gain_pct,RMSE_base_mean,RMSE_target_mean,RMSE_target_gain_pct,MAPE_base_mean,MAPE_target_mean,MAPE_target_gain_pct
time@static(B-A),12,12,A_traffic_only,B_traffic_time,STGCN,STGCN,4.611481094360352,3.93829984664917,14.597940096392334,7.289256000518799,6.119907569885254,16.042082080123386,0.18265326321125025,0.15584607422351834,14.67654533865495
dynamic@traffic_only(D-A),12,12,A_traffic_only,D_traffic_causal,STGCN,CausalSTGCN,4.611481094360352,4.460480690002441,3.274444831674094,7.289256000518799,7.022061061859131,3.665599598102345,0.18265326321125025,0.17653446793556213,3.3499512508634135
dynamic@time(E-B),12,12,B_traffic_time,E_traffic_time_causal,STGCN,CausalSTGCN,3.93829984664917,3.816081714630127,3.103322163827369,6.119907569885254,6.036329555511474,1.3656744553634934,0.15584607422351834,0.15015354454517363,3.652661580798209
external@static(F-B),12,12,B_traffic_time,F_traffic_time_query_static,STGCN,STGCN,3.93829984664917,4.033006906509399,-2.404770168548976,6.119907569885254,6.314702129364013,-3.1829657107453917,0.15584607422351834,0.16019097566604612,-2.7879441071426734
external@dynamic(C-E),12,12,E_traffic_time_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,3.816081714630127,3.836045265197754,-0.523142638457933,6.036329555511474,6.00377893447876,0.5392452604413274,0.15015354454517363,0.1526778638362884,-1.681158642482348
dynamic@full(C-F),12,12,F_traffic_time_query_static,C_traffic_time_query,STGCN,CausalSTGCN,4.033006906509399,3.836045265197754,4.883741731107459,6.314702129364013,6.00377893447876,4.923798280831471,0.16019097566604612,0.1526778638362884,4.690096803842736
query@static(G-B),12,12,B_traffic_time,G_time_query_static,STGCN,STGCN,3.93829984664917,3.896637964248657,1.05786466299564,6.119907569885254,6.10025053024292,0.3211983092532703,0.15584607422351834,0.15498132109642024,0.5548764262472567
query@dynamic(H-E),12,12,E_traffic_time_causal,H_time_query_causal,CausalSTGCN,CausalSTGCN,3.816081714630127,3.9253949165344237,-2.864540386680157,6.036329555511474,6.0673164367675785,-0.5133397865564092,0.15015354454517363,0.15289027392864224,-1.8226205660068633
weather@static(I-B),12,12,B_traffic_time,I_time_weather_static,STGCN,STGCN,3.93829984664917,3.9564611434936525,-0.4611456098228434,6.119907569885254,6.117149448394775,0.04506802527625041,0.15584607422351834,0.15588003695011138,-0.021792481307115915
weather@dynamic(J-E),12,12,E_traffic_time_causal,J_time_weather_causal,CausalSTGCN,CausalSTGCN,3.816081714630127,3.8923517227172852,-1.998647140986355,6.036329555511474,6.0672252655029295,-0.5118294106928891,0.15015354454517363,0.1529888421297073,-1.88826550390268
