rank_in_pool,sample_index,query_score,is_representative,input_end_time,target_start_time,target_end_time
1,753,1.672019124031067,False,2017-05-27 18:00,2017-05-27 18:15,2017-05-28 03:00
2,754,1.6644375324249268,False,2017-05-27 18:15,2017-05-27 18:30,2017-05-28 03:15
3,80,1.6558984518051147,False,2017-05-20 17:45,2017-05-20 18:00,2017-05-21 02:45
4,755,1.6558856964111328,False,2017-05-27 18:30,2017-05-27 18:45,2017-05-28 03:30
5,78,1.65582275390625,False,2017-05-20 17:15,2017-05-20 17:30,2017-05-21 02:15
6,752,1.6552441120147705,False,2017-05-27 17:45,2017-05-27 18:00,2017-05-28 02:45
7,79,1.6528264284133911,False,2017-05-20 17:30,2017-05-20 17:45,2017-05-21 02:30
8,76,1.6512402296066284,False,2017-05-20 16:45,2017-05-20 17:00,2017-05-21 01:45
9,756,1.6458172798156738,False,2017-05-27 18:45,2017-05-27 19:00,2017-05-28 03:45
10,77,1.6456981897354126,False,2017-05-20 17:00,2017-05-20 17:15,2017-05-21 02:00
11,751,1.6435749530792236,False,2017-05-27 17:30,2017-05-27 17:45,2017-05-28 02:30
12,75,1.6405577659606934,False,2017-05-20 16:30,2017-05-20 16:45,2017-05-21 01:30
13,56,1.640234112739563,False,2017-05-20 11:45,2017-05-20 12:00,2017-05-20 20:45
14,81,1.637143611907959,False,2017-05-20 18:00,2017-05-20 18:15,2017-05-21 03:00
15,57,1.6342850923538208,False,2017-05-20 12:00,2017-05-20 12:15,2017-05-20 21:00
16,54,1.633906602859497,False,2017-05-20 11:15,2017-05-20 11:30,2017-05-20 20:15
17,750,1.6337279081344604,False,2017-05-27 17:15,2017-05-27 17:30,2017-05-28 02:15
18,74,1.6326491832733154,False,2017-05-20 16:15,2017-05-20 16:30,2017-05-21 01:15
19,153,1.630218267440796,False,2017-05-21 12:00,2017-05-21 12:15,2017-05-21 21:00
20,55,1.630053997039795,False,2017-05-20 11:30,2017-05-20 11:45,2017-05-20 20:30
21,154,1.6290199756622314,False,2017-05-21 12:15,2017-05-21 12:30,2017-05-21 21:15
22,82,1.62205970287323,False,2017-05-20 18:15,2017-05-20 18:30,2017-05-21 03:15
23,152,1.6213210821151733,False,2017-05-21 11:45,2017-05-21 12:00,2017-05-21 20:45
24,757,1.6196345090866089,False,2017-05-27 19:00,2017-05-27 19:15,2017-05-28 04:00
25,749,1.6189805269241333,False,2017-05-27 17:00,2017-05-27 17:15,2017-05-28 02:00
26,657,1.6188381910324097,False,2017-05-26 18:00,2017-05-26 18:15,2017-05-27 03:00
27,748,1.6176046133041382,False,2017-05-27 16:45,2017-05-27 17:00,2017-05-28 01:45
28,53,1.6154648065567017,False,2017-05-20 11:00,2017-05-20 11:15,2017-05-20 20:00
29,58,1.6149770021438599,False,2017-05-20 12:15,2017-05-20 12:30,2017-05-20 21:15
30,656,1.6137428283691406,False,2017-05-26 17:45,2017-05-26 18:00,2017-05-27 02:45
31,155,1.6132773160934448,False,2017-05-21 12:30,2017-05-21 12:45,2017-05-21 21:30
32,52,1.6108314990997314,False,2017-05-20 10:45,2017-05-20 11:00,2017-05-20 19:45
33,73,1.6099671125411987,True,2017-05-20 16:00,2017-05-20 16:15,2017-05-21 01:00
34,83,1.609870433807373,False,2017-05-20 18:30,2017-05-20 18:45,2017-05-21 03:30
35,758,1.6093279123306274,False,2017-05-27 19:15,2017-05-27 19:30,2017-05-28 04:15
36,51,1.6065839529037476,False,2017-05-20 10:30,2017-05-20 10:45,2017-05-20 19:30
