snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
0,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,2,0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0
1,95,1,176,0.0007054108216432866,0.1761827079934747,0.1981651376146789,0.6136363636363636,0.13015246391296387,1.0
1,95,2,196,0.0007855711422845691,0.1278538812785388,0.15412844036697249,0.42857142857142855,0.09631066769361496,0.8422077894210815
1,95,3,84,0.0003366733466933868,0.06429780033840947,0.06972477064220184,0.4523809523809524,0.06470414996147156,0.22544308006763458
2,191,1,189,0.0007575150300601202,0.18387096774193548,0.20917431192660552,0.6031746031746031,0.12453876435756683,0.6269439458847046
2,191,2,223,0.0008937875751503006,0.14626865671641792,0.1798165137614679,0.43946188340807174,0.09905122220516205,1.0
2,191,3,76,0.00030460921843687374,0.06153846153846154,0.06605504587155964,0.47368421052631576,0.057431891560554504,0.2029181271791458
3,287,1,213,0.0008537074148296593,0.19558359621451105,0.22752293577981653,0.5821596244131455,0.13930204510688782,0.7453042268753052
3,287,2,236,0.0009458917835671343,0.15532544378698224,0.1926605504587156,0.4449152542372881,0.11279777437448502,1.0
3,287,3,79,0.00031663326653306616,0.05227655986509275,0.05688073394495413,0.3924050632911392,0.0553409606218338,0.2377375364303589
4,383,1,214,0.0008577154308617235,0.17492260061919504,0.20733944954128442,0.5280373831775701,0.15919843316078186,1.0
4,383,2,245,0.0009819639278557115,0.18263473053892215,0.22385321100917432,0.49795918367346936,0.11641350388526917,0.9507066011428833
4,383,3,71,0.0002845691382765531,0.04230118443316413,0.045871559633027525,0.352112676056338,0.05954279750585556,0.2165362387895584
5,479,1,227,0.0009098196392785571,0.18404907975460122,0.22018348623853212,0.5286343612334802,0.16457340121269226,1.0
5,479,2,241,0.000965931863727455,0.16444444444444445,0.2036697247706422,0.4605809128630705,0.1285281479358673,0.9723089337348938
5,479,3,79,0.00031663326653306616,0.06484641638225255,0.06972477064220184,0.4810126582278481,0.06388650089502335,0.27785244584083557
6,575,1,212,0.0008496993987975952,0.19400630914826497,0.22568807339449543,0.5801886792452831,0.18175189197063446,1.0
6,575,2,251,0.0010060120240480961,0.16374269005847952,0.20550458715596331,0.44621513944223107,0.13976337015628815,0.9147376418113708
6,575,3,83,0.00033266533066132265,0.06260575296108291,0.06788990825688074,0.4457831325301205,0.05491703003644943,0.2996405363082886
7,671,1,214,0.0008577154308617235,0.1859375,0.21834862385321102,0.5560747663551402,0.15479736030101776,1.0
7,671,2,256,0.0010260521042084168,0.1744868035190616,0.21834862385321102,0.46484375,0.12866343557834625,0.742845356464386
7,671,3,83,0.00033266533066132265,0.06440677966101695,0.06972477064220184,0.4578313253012048,0.046192433685064316,0.24781908094882965
8,767,1,202,0.0008096192384769539,0.17823343848580442,0.20733944954128442,0.5594059405940595,0.18492218852043152,0.9663835167884827
8,767,2,267,0.0010701402805611223,0.17851959361393324,0.22568807339449543,0.4606741573033708,0.15858124196529388,1.0
8,767,3,83,0.00033266533066132265,0.06984667802385008,0.07522935779816514,0.4939759036144578,0.04918080195784569,0.17829644680023193
9,863,1,190,0.0007615230460921844,0.1685214626391097,0.1944954128440367,0.5578947368421052,0.16847430169582367,1.0
9,863,2,277,0.0011102204408817635,0.1810344827586207,0.23119266055045873,0.4548736462093863,0.13273915648460388,0.753176748752594
