mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
D_traffic_causal,traffic_only,36,12,0.7,CausalSTGCN,0.3311363591088189,True,4.297602653503418,6.627353668212891,0.16776277124881744,100.0,0
D_traffic_causal,traffic_only,36,36,0.7,CausalSTGCN,0.3311363591088189,True,4.609227657318115,7.183742046356201,0.18139705061912537,100.0,0
D_traffic_causal,traffic_only,36,12,0.0,DCRNN,0.39158276054594254,False,4.731560230255127,7.160445690155029,0.18981632590293884,100.0,0
D_traffic_causal,traffic_only,36,36,0.0,DCRNN,0.39158276054594254,False,5.935239791870117,8.811660766601562,0.23358391225337982,100.0,0
D_traffic_causal,traffic_only,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,0
D_traffic_causal,traffic_only,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,0
D_traffic_causal,traffic_only,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,0
D_traffic_causal,traffic_only,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,0
D_traffic_causal,traffic_only,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,0
D_traffic_causal,traffic_only,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,0
