mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
F_traffic_time_query_static,traffic_time_weather_query,36,12,0.0,STGCN,0.30005185140503776,False,3.8291542530059814,6.004786968231201,0.15306290984153748,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,36,0.0,STGCN,0.30005185140503776,False,4.347254276275635,6.775184631347656,0.17931534349918365,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,12,0.0,DCRNN,0.30769912401835126,False,3.8929834365844727,6.057583332061768,0.16494505107402802,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,36,0.0,DCRNN,0.30769912401835126,False,4.491728782653809,6.992459774017334,0.19176654517650604,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,84
F_traffic_time_query_static,traffic_time_weather_query,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,84
